score,target,observations,mean_ic,ic_std,ic_ir,ic_hit_rate,mean_long_short,ls_std,ls_ir
breakout_score,forward_return_20,2263,-0.006281169118111227,0.5456716820895277,-0.011510894415592348,0.46619531595227576,0.0004539494166637343,0.06274757973656347,0.007234532687468974
composite_score_full,forward_return_20,2263,0.010902089514550852,0.5531969887088276,0.019707427439177746,0.4821034025629695,0.0023369212273342834,0.06229633608964714,0.03751298028139812
composite_score_full_vol_neutral,forward_return_20,2263,0.005012309828924933,0.5251385830330221,0.00954473731481609,0.46045072912063634,0.00018849867401198744,0.06142069674231461,0.003068976485285047
composite_score_minimal,forward_return_20,2263,0.0019451798726164925,0.5497818286669571,0.003538094151516291,0.4768007070260716,0.0019525079916102883,0.06146891855250159,0.031764150689305194
consistency_score,forward_return_20,2263,0.055432106558929356,0.5381888908694712,0.10299749307232263,0.5059655324790102,0.003806584837961778,0.061857766048177366,0.061537703042768364
drawdown_score,forward_return_20,2222,0.002046238184662191,0.5577159611405741,0.003668961132970749,0.4720972097209721,0.00042416049565955266,0.06338008129552425,0.006692331202319014
optimized_score_global,forward_return_20,2263,0.049131999242472066,0.5521109028139188,0.08898936607131504,0.5028722934158197,0.0030662814986984373,0.06276203852114613,0.04885567089515948
optimized_score_sector,forward_return_20,717,0.00255408433230522,0.30919896872254266,0.00826032616750772,0.4700139470013947,-0.009408100017731033,0.054324029945462114,-0.17318486914862852
smoothness_score,forward_return_20,2262,-0.004942744359192241,0.5508933217727666,-0.008972235029618006,0.47524314765694076,0.0008730743424360946,0.06269381462560086,0.013926004465511928
strength_score,forward_return_20,2262,0.004359428364546903,0.5542736243999663,0.00786511963160116,0.48143236074270557,0.0005361447487754616,0.06200544770625684,0.00864673619188077
trend_following_score,forward_return_20,2263,0.005788775961113567,0.5572438492810678,0.01038822764680489,0.4931506849315068,0.0004757546231547525,0.06230400367774144,0.007636020080114359
trend_state_score,forward_return_20,2257,-0.02332678418076538,0.5445404546437013,-0.042837559600651436,0.46256092157731504,-0.0024797866900820678,0.06318410050086262,-0.03924700471201948
