trade_date,gross_return,turnover,entry_count,hold_count,transaction_cost,strategy_return,net_value,running_peak,drawdown,signal_gross_budget,vol_scale,drawdown_scale,gross_exposure,trend_asset_count,active_signal_count,score_spread_top1_top2,avg_active_excess_score,realized_vol_lookback
2023-04-21,0.0,0.0,0,0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1,0,,0.0,
2023-04-24,0.0,0.0,0,0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,2,0,,0.0,
2023-04-25,0.0,0.0,0,0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,2,0,,0.0,
2023-04-26,0.0,0.0,0,0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,3,0,,0.0,
2023-04-27,0.0,0.0,0,0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,2,0,,0.0,
2023-04-28,0.0,0.0,0,0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,2,0,,0.0,
2023-05-04,0.0,0.0,0,0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,2,0,,0.0,
2023-05-05,0.0,0.0,0,0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,3,0,,0.0,
2023-05-08,0.0,0.0,0,0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,3,0,,0.0,
2023-05-09,0.0,0.0,0,0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,2,0,,0.0,
2023-05-10,0.0,0.0,0,0,0.0,0.0,1.0,1.0,0.0,0.0,1.75,1.0,0.0,2,0,,0.0,0.0
2023-05-11,0.0,0.0,0,0,0.0,0.0,1.0,1.0,0.0,0.0,1.75,1.0,0.0,2,0,,0.0,0.0
2023-05-12,0.0,0.0,0,0,0.0,0.0,1.0,1.0,0.0,0.0,1.75,1.0,0.0,2,0,,0.0,0.0
2023-05-15,0.0,0.0,0,0,0.0,0.0,1.0,1.0,0.0,0.0,1.75,1.0,0.0,2,0,,0.0,0.0
2023-05-16,0.0,0.0,0,0,0.0,0.0,1.0,1.0,0.0,0.0,1.75,1.0,0.0,2,0,,0.0,0.0
2023-05-17,0.0,0.0,0,0,0.0,0.0,1.0,1.0,0.0,0.0,1.75,1.0,0.0,2,0,,0.0,0.0
2023-05-18,0.0,0.0,0,0,0.0,0.0,1.0,1.0,0.0,0.0,1.75,1.0,0.0,2,0,,0.0,0.0
2023-05-19,0.0,0.0,0,0,0.0,0.0,1.0,1.0,0.0,0.0,1.75,1.0,0.0,2,0,,0.0,0.0
2023-05-22,0.0,0.0,0,0,0.0,0.0,1.0,1.0,0.0,0.0,1.75,1.0,0.0,2,0,,0.0,0.0
2023-05-23,0.0,0.0,0,0,0.0,0.0,1.0,1.0,0.0,0.0,1.75,1.0,0.0,2,0,,0.0,0.0
2023-05-24,0.0,0.0,0,0,0.0,0.0,1.0,1.0,0.0,0.0,1.75,1.0,0.0,3,0,,0.0,0.0
2023-05-25,0.0,1.05,1,1,0.00031499999999999996,-0.00031499999999999996,0.999685,1.0,-0.0003149999999999542,0.6619716617018858,1.75,1.0,1.05,3,1,,0.07736920785485779,0.0
2023-05-26,0.002191494912601155,0.09061209202169995,0,1,2.7183627606509982e-05,0.002164311284994645,1.00184862952694,1.00184862952694,0.0,0.5482216617018858,1.75,1.0,0.9593879079783001,1,1,,0.07736920785485779,7.043614129124338e-05
2023-05-29,-0.003996408885095831,0.9593879079783001,0,0,0.00028781637239349,-0.004284225257489321,0.9975564843241397,1.00184862952694,-0.0042842252574892825,0.0,1.75,1.0,0.0,1,0,,0.0,0.0004927084505121046
2023-05-30,0.0,1.05,1,1,0.00031499999999999996,-0.00031499999999999996,0.9972422540315776,1.00184862952694,-0.0045978757265331405,0.6074516558723861,1.75,1.0,1.05,1,1,,0.3507384117187051,0.0010964443512552677
2023-05-31,-0.009606336260978626,0.0,0,1,0.0,-0.009606336260978626,0.9876624096056941,1.00184862952694,-0.014160043247196441,0.6643266558723862,1.75,1.0,1.05,2,1,,0.3507384117187051,0.0010968658233074466
2023-06-01,0.0020498074183506153,1.05,0,0,0.00031499999999999996,0.0017348074183506153,0.9893758136807039,1.00184862952694,-0.012449800776915376,0.0,1.75,1.0,0.0,2,0,,0.0,0.002382889994177205
2023-06-02,0.0,0.0,0,0,0.0,0.0,0.9893758136807039,1.00184862952694,-0.012449800776915376,0.0,1.75,1.0,0.0,1,0,,0.0,0.002437511459182518
2023-06-05,0.0,0.0,0,0,0.0,0.0,0.9893758136807039,1.00184862952694,-0.012449800776915376,0.0,1.75,1.0,0.0,1,0,,0.0,0.002437511459182518
