Date,Asset,Action,Pre_Position,Post_Position,Position_Change,Executed_Price,Signal_Score,Regime
2023-05-25,IF,open_long,0.0,0.875,0.875,4986.729583143686,1.0773692078548578,trend
2023-05-26,IF,reduce_long,0.875,0.8377552784365002,-0.03724472156349978,4997.137576012236,0.8534740607746233,trend
2023-05-29,IF,close_long,0.8377552784365002,0.0,-0.8377552784365002,4976.321590275136,0.8780500461715166,trend
2023-05-30,IF,open_long,0.0,0.875,0.875,4977.102189740278,1.3507384117187051,trend
2023-06-01,IF,close_long,0.875,0.0,-0.875,4941.194614343783,-0.3676782194144882,trend
2023-06-15,I,open_long,0.0,0.875,0.875,3677.927954267614,1.4149948399040886,trend
2023-06-26,I,close_long,0.875,0.0,-0.875,3594.492433539287,0.2077888563330401,trend
2023-06-27,I,open_long,0.0,0.875,0.875,3716.26319352117,1.1991633662389083,trend
2023-07-03,I,close_long,0.875,0.0,-0.875,3693.713052783784,-1.1877542088350863,trend
2023-07-12,M,open_long,0.0,0.875,0.875,6365.464470429704,1.2980914563497783,trend
2023-08-02,M,reduce_long,0.875,0.8738022856684721,-0.0011977143315279326,6818.0079825214725,1.6892606660655105,trend
2023-08-03,M,increase_long,0.8738022856684721,0.8740100790738267,0.0002077934053545949,6791.2953446549445,1.6773633039831994,trend
2023-08-04,M,reduce_long,0.8740100790738267,0.8602423406191668,-0.01376773845465984,6833.721298913549,1.649676077318894,trend
2023-08-07,M,increase_long,0.8602423406191668,0.8614519501583942,0.0012096095392273298,6758.428461937062,1.563238623958821,trend
2023-08-08,M,reduce_long,0.8614519501583942,0.8059978955982734,-0.05545405456012076,6733.330849611566,1.5494172412937337,trend
2023-08-09,M,reduce_long,0.8059978955982734,0.7968226076167038,-0.009175287981569635,6858.818911239045,1.557172964117147,trend
2023-08-10,M,reduce_long,0.7968226076167038,0.7542998564444734,-0.042522751172230366,6878.5384637805055,1.605302858424141,trend
2023-08-11,M,increase_long,0.7542998564444734,0.7851550375817617,0.030855181137288357,6917.977568863427,1.702563242056513,trend
2023-08-14,M,increase_long,0.7851550375817617,0.7882575077236098,0.003102470141848057,6961.002047135706,1.6878172584377504,trend
2023-08-15,M,increase_long,0.7882575077236098,0.7965471770668219,0.00828966934321207,7016.5753315707325,1.6956161458315897,trend
2023-08-16,M,increase_long,0.7965471770668219,0.7974426328609405,0.0008954557941186492,6991.477719245237,1.7096441877723876,trend
2023-08-17,M,increase_long,0.7974426328609405,0.8722508825231113,0.07480824966217081,7102.624288115288,1.686713630665694,trend
2023-08-18,M,reduce_long,0.8722508825231113,0.8400736881680978,-0.03217719435501354,7188.673244659845,1.562335538367965,trend
2023-08-21,M,increase_long,0.8400736881680978,0.8635211432564275,0.023447455088329683,7328.502799044751,1.5418919108897322,trend
2023-08-22,M,reduce_long,0.8635211432564275,0.8109854842453896,-0.05253565901103785,7124.136527251428,1.530897778279959,trend
2023-08-23,M,reduce_long,0.8109854842453896,0.6481892577032786,-0.162796226542111,7133.099960224819,1.5146342862679976,trend
2023-08-24,M,increase_long,0.6481892577032786,0.6511624253012608,0.0029731675979821626,7165.368318929028,1.416111174582794,trend
2023-08-25,M,increase_long,0.6511624253012608,0.6578921093931575,0.0067296840918966705,7305.197873313933,1.391620778687663,trend
2023-08-28,M,increase_long,0.6578921093931575,0.6588819801549755,0.0009898707618180014,7387.661456669133,1.5029949034614307,trend
2023-08-29,M,increase_long,0.6588819801549755,0.6677872494849623,0.008905269329986809,7428.893248346733,1.5552145607240326,trend
2023-08-30,M,increase_long,0.6677872494849623,0.6818932115670922,0.014105962082129886,7414.5517555893075,1.5190864973465106,trend
2023-08-31,M,reduce_long,0.6818932115670922,0.6788721334112793,-0.003021078155812873,7416.344442183985,1.3833232235606363,trend
2023-09-01,M,increase_long,0.6788721334112793,0.6860965605808859,0.007224427169606584,7358.978471154281,1.4459336979146304,trend
2023-09-04,M,reduce_long,0.6860965605808859,0.6733098637551493,-0.012786696825736521,7228.112349742767,1.4764155837010071,trend
2023-09-05,M,reduce_long,0.6733098637551493,0.6589122870874222,-0.014397576667727119,7324.917425855394,1.3651886214473146,trend
2023-09-06,M,reduce_long,0.6589122870874222,0.6587800698628067,-0.00013221722461553842,7412.759068994629,1.3969813143954657,trend
2023-09-07,M,increase_long,0.6587800698628067,0.6828768441123042,0.02409677424949752,7416.344442183985,1.400727386865937,trend
2023-09-08,M,reduce_long,0.6828768441123042,0.6816539077550993,-0.00122293635720494,7281.8929475831155,1.2370466723338682,trend
2023-09-11,M,reduce_long,0.6816539077550993,0.641132183449473,-0.04052172430562628,7355.393097964924,1.3072493313535405,trend
